Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
274,Siena,31,11,20,0.355,-2.9,7,13,2164,2289,748,1736,0.431,152,458,0.332,516,727,0.71,395,1023,411,233,111,389,649
275,South Alabama,33,12,21,0.364,-3.04,9,11,2275,2438,762,1813,0.42,214,640,0.334,537,764,0.703,360,1175,353,157,121,474,586
276,South Carolina State,33,11,22,0.333,-7.46,7,9,1965,2203,706,1846,0.382,184,608,0.303,369,612,0.603,394,1142,360,200,101,412,579
277,South Carolina Upstate,36,24,12,0.667,-7.5,8,6,2579,2198,938,2124,0.442,290,863,0.336,413,631,0.655,482,1372,534,283,114,390,588
278,South Carolina,33,17,16,0.515,8.24,6,12,2146,2046,735,1819,0.404,180,599,0.301,496,673,0.737,406,1178,437,208,133,424,634
279,South Dakota State,35,24,11,0.686,-3.23,12,4,2572,2277,867,1918,0.452,280,732,0.383,556,780,0.713,337,1254,428,191,129,399,691
280,South Dakota,33,17,16,0.515,-3.48,9,7,2309,2312,811,1924,0.422,212,589,0.36,475,650,0.731,384,1169,388,184,80,372,603
281,South Florida,32,9,23,0.281,2.56,3,15,1970,2189,745,1720,0.433,136,448,0.304,344,556,0.619,343,1084,362,184,156,436,609
282,Southeast Missouri State,30,13,17,0.433,-3.73,7,9,2087,2064,742,1686,0.44,189,553,0.342,414,621,0.667,346,1050,378,218,132,394,598
283,Southeastern Louisiana,32,9,23,0.281,-6.14,6,12,2186,2324,807,1760,0.459,185,591,0.313,387,582,0.665,311,1068,389,194,112,492,590
284,Southern California,32,12,20,0.375,6.15,3,15,2143,2271,787,1863,0.422,170,517,0.329,399,629,0.634,366,1149,397,208,133,446,565
285,SIU Edwardsville,28,12,16,0.429,-4.54,8,8,1909,1884,660,1532,0.431,198,521,0.38,391,579,0.675,292,969,345,178,120,375,518
286,Southern Illinois,33,12,21,0.364,-0.6,4,14,1968,2044,681,1626,0.419,138,418,0.33,468,667,0.702,327,1027,274,221,72,423,605
287,Southern Methodist NCAA,34,27,7,0.794,3.57,15,3,2350,2032,832,1750,0.475,145,400,0.363,541,770,0.703,388,1244,524,237,146,426,551
288,Southern Mississippi,29,9,20,0.31,-0.06,4,14,1742,1978,618,1438,0.43,183,554,0.33,323,515,0.627,248,863,352,178,63,408,449
289,Southern Utah,29,10,19,0.345,-5.48,7,11,2011,2146,700,1537,0.455,210,537,0.391,401,599,0.669,218,920,344,144,108,393,651
290,Southern,35,18,17,0.514,-8.23,13,5,2259,2226,801,1895,0.423,150,484,0.31,507,775,0.654,403,1262,359,240,145,462,702
291,St. Bonaventure,31,18,13,0.581,1.34,10,8,2085,2005,733,1723,0.425,158,503,0.314,461,653,0.706,384,1153,383,206,149,384,535
292,St. Francis (NY),35,23,12,0.657,-6.2,15,3,2418,2262,837,2005,0.417,195,662,0.295,549,809,0.679,521,1361,431,232,172,459,643
293,St. John's (NY) NCAA,33,21,12,0.636,9.04,10,8,2343,2240,835,1890,0.442,198,569,0.348,475,687,0.691,336,1164,408,246,210,352,587
