Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
271,Savannah State,32,16,16,0.5,-8.59,9,7,1992,2167,667,1685,0.396,204,647,0.315,452,686,0.659,297,1022,330,201,84,473,632
272,Seattle,32,15,17,0.469,-5.02,7,7,2074,2140,735,1732,0.424,197,550,0.358,407,612,0.665,365,1174,415,193,51,505,584
273,Seton Hall NCAA,34,25,9,0.735,8.28,12,6,2522,2305,892,1999,0.446,206,594,0.347,532,808,0.658,438,1355,455,251,155,469,636
274,Siena,34,21,13,0.618,-3.19,13,7,2659,2492,929,1992,0.466,215,585,0.368,586,812,0.722,455,1362,492,210,155,546,714
275,South Alabama,33,14,19,0.424,-2.02,8,12,2284,2426,784,1917,0.409,213,660,0.323,503,747,0.673,390,1228,350,221,132,483,664
276,South Carolina State,34,19,15,0.559,-8.24,12,4,2485,2485,885,1955,0.453,201,589,0.341,514,716,0.718,342,1145,432,156,94,400,656
277,South Carolina Upstate,32,10,22,0.313,-4.39,4,10,2315,2495,860,1914,0.449,218,640,0.341,377,590,0.639,413,1228,484,175,106,449,623
278,South Carolina,34,25,9,0.735,5.83,11,7,2583,2357,882,2040,0.432,216,614,0.352,603,883,0.683,472,1372,461,230,151,464,672
279,South Dakota State NCAA,34,26,8,0.765,-1.22,12,4,2591,2316,877,1950,0.45,255,715,0.357,582,783,0.743,381,1279,381,169,84,399,670
280,South Dakota,32,14,18,0.438,-0.88,5,11,2443,2537,912,1954,0.467,201,565,0.356,418,596,0.701,289,1077,492,209,113,388,662
281,South Florida,33,8,25,0.242,5.24,4,14,2085,2352,774,1852,0.418,133,465,0.286,404,612,0.66,413,1271,331,150,176,485,588
